text,from,from_id
итак нелегко житься пощадить,Ксения,user1584328410
жиз,женьккк,user1313997817
ктото хотеть продвигать уровень индивидуальный запрос таблица эксел штука полезный,Galina,user6222538500
продвинутый уровень легкость,Даниил Федоров,user435321224
класс пост окей класс стрелка пирс тб логический задача,женьккк,user1313997817
ладно наверное,женьккк,user1313997817
думать давать карта карно переменная,Galina,user6222538500
город реж свердловский область,женьккк,user1313997817
делать стенд логический операция составлять цепь выражение u посмотреть итог получаться лампочка загораться u потухать,Ксения,user1584328410
шутить спойлер дефолтное вариант,Galina,user6222538500
стенд сделать автомат дм,Ксения,user1584328410
офигеть,женьккк,user1313997817
сильно облегчать жизнь,женьккк,user1313997817
это интересный тема техноложка преподавать курс стенд,Galina,user6222538500
тема схема игошин целый глава,Galina,user6222538500
простенький отрицание конъюнкция u дизъюнкция принцип собирать,Ксения,user1584328410
угодно собирать,Galina,user6222538500
школьник это интересно школа стенд оставлять след история сказать,Ксения,user1584328410
ба думать,Galina,user6222538500
опа,Ксения,user1584328410
делать заказ делатек,Ксения,user1584328410
любой инициатива какаято задача тема который готовый реализовать это здорово,Galina,user6222538500
круто,Ксения,user1584328410
решать весь задача ба какогонибудь задачник получать автомат,женьккк,user1313997817
серьезный вопрос,женьккк,user1313997817
прямой весь вариант,Galina,user6222538500
ба,вика,user599751161
говорить готовый посвящать весь день сделать множественный выбор опрос,женьккк,user1313997817
булев алгебра,Galina,user6222538500
день ноль коллоквиум,женьккк,user1313997817
готовый,женьккк,user1313997817
посмотреть результат время,Galina,user6222538500
хм каждый задание это интересно,Galina,user6222538500
это очень интересный,женьккк,user1313997817
правда работа проверять задача,женьккк,user1313997817
зато сдавать коллоквиум,женьккк,user1313997817
плюс,женьккк,user1313997817
попросить проверять ти весь,Galina,user6222538500
вариант,женьккк,user1313997817
предлагать обсуждать вариант автомат ба короче говорить,женьккк,user1313997817
хотеть,Viktoria Skoblilova,user844216932
мочь пожалуйста закреплять опрос груда сообщение мочь потеряться,женьккк,user1313997817
количество товар ограничивать,женьккк,user1313997817
открывать любой обсуждение кстати готовый лекция оформление допбалл,Galina,user6222538500
заманчивый предложение правильно помнить оформлять красиво лекция это балл записываться оформлять балл дедлайн,женьккк,user1313997817
пн готовый передавать нужный доброволец формат презентация конспект рукописный,Galina,user6222538500
записывать,Galina,user6222538500
открывать запись доброволец,женьккк,user1313997817
готовый,Galina,user6222538500
евгений коваленко прямо записывать,женьккк,user1313997817
спасибо,Viktoria Skoblilova,user844216932
записывать,Galina,user6222538500
пожалуйста,Лада,user538547424
окей,Galina,user6222538500
просто давать конспект ваш должный сделать презентация распечатывать,Nikita Miliutin,user416281316
конспект рукописный распечатывать,женьккк,user1313997817
красивый през должный,женьккк,user1313997817
перерабатывать конспект соответствие шаблон,Galina,user6222538500
возможно гдеть пример добавлять проверять опечатка,Galina,user6222538500
кста переживать практика раздавать допы балл,женьккк,user1313997817
ба записываться просьба подходить лекция взять материал,Galina,user6222538500
практика тема работать,Galina,user6222538500
дедлайн,Nikita Miliutin,user416281316
пн сказать наверное,женьккк,user1313997817
братан спрашивать,Nikita Miliutin,user416281316
хрш бро,женьккк,user1313997817
факт нга хотеть увидеть результат проверять,Galina,user6222538500
творчество дополнение уточнение конспект например какоето понятие стоить раскрывать подробно дополнять пример пусть,Galina,user6222538500
место заканчиваться хотеть,kirill,user6393435800
розыгрыш место,женьккк,user1313997817
мочь человечек порадовать даром небо становиться,Fluf,user752804991
плакать практик попросить,женьккк,user1313997817
лекция раздавать лекция место,женьккк,user1313997817
галина станиславовна практика,kirill,user6393435800
мочь весь,kirill,user6393435800
понимать мочь это дар небо это както обыграться,Fluf,user752804991
практик балл конспект поздно ум доводить,Galina,user6222538500
круто получать,kirill,user6393435800
примерно кр писать,Николай Новиков,user381124323
спасибо,Николай Новиков,user381124323
новоприбывший,Galina,user6222538500
список коллоквиум,Galina,user6222538500
практика,Сережа Хахххахаха,user691238404
мочь пожалуйста скидывать конспект,Anna Panina,user911482284
сколько вопрос билет,Артём,user1499212295
теоретический вопросзадача,Galina,user6222538500
задача ваш усмотрение публиковать заранее,Viktoria Skoblilova,user844216932
задача практика заявлять кстати кр задача заменять четвертый класс пост пятый полнота,Galina,user6222538500
понимать спасибо,Viktoria Skoblilova,user844216932
информация коллоквиум разный расписание коллоквиум проходить,Galina,user6222538500
время выбирать список сдавать,sandrolek,user892025888
простой составной формула,Егор Шарыпов,user1496699521
вопрос коллок,Егор Шарыпов,user1496699521
че сразу клоун это давно разрешать забывать,Егор Шарыпов,user1496699521
понимать вообще последний вопрос,Егор Шарыпов,user1496699521
тема помнить задача правильный ответ,Егор Шарыпов,user1496699521
простой который раскладывать например конъюнкция дизъюнкция составной это суперпозиция простой пример х z просить прощение слово доступ компьютер,Galina,user6222538500
самостоятельно выбирать,Galina,user6222538500
вообще книжка снизу список написать думать прочитывать,Костя,user1994288719
пробовать довольно тяжело,Егор Шарыпов,user1496699521
игошин пробовать,Galina,user6222538500
верхний двн,Егор Шарыпов,user1496699521
подробно расписывать посмотреть книжка который именно пример задача наглядно рассматривать консультация разбирать,Galina,user6222538500
окей спасибо,Егор Шарыпов,user1496699521
важный информация коллоквиум поток который практика заниматься татьяна владимировна савченко мочь сдавать коллоквиум указанный дата непосредственно,Galina,user6222538500
очевидно говорить раскладывать иметь ввиду раскладывать просто дизьюнкция мочь раскладывать коньюнкция инверсия,Егор Шарыпов,user1496699521
простой,Егор Шарыпов,user1496699521
отлично спасибо,Сережа Хахххахаха,user691238404
непосредственно время договариваться,женьккк,user1313997817
кстати интересный вопрос,Fluf,user752804991
точный информация поздно,Galina,user6222538500
число ауд кронверский ауд ломоносов,Galina,user6222538500
татьяна владимировна дата,Fluf,user752804991
спасибо,Fluf,user752804991
подсказывать гденибудь весь конспект лекция находить это,Диана,user1185938558
вложение беседа,sandrolek,user892025888
галина станиславовна итог просто приходить удобный дата записываться гдеть получаться прийти какуюто дата успевать,sandrolek,user892025888
отреагировать,Fluf,user752804991
это понятно,sandrolek,user892025888
нигде отмечаться это,sandrolek,user892025888
обычно запись какаято спрашивать,sandrolek,user892025888
завтра весь вопрос отвечать сегодня жуткий приступ мигрень,Galina,user6222538500
выздоравливать,женьккк,user1313997817
поправляться,добряк,user1131995264
болеть,bocharnikoff,user939466119
здоровье,Danil Rozhin,user1232626150
выздоравливать,Artem Dvornikov,user908895922
спасибо,Galina,user6222538500
выздоравливать,Виктор Иванов,user506614888
выздоравливать,Олеся,user455726615
выздоравливать,Егор,user817177912
выздоравливать,Anton Dementev,user1124096872
спасибо,Galina,user6222538500
здравствовать число кр практика обычный лекция,Ксения,user1584328410
практика,женьккк,user1313997817
крайний мера тв савченко практика,женьккк,user1313997817
умозаключать остальной группа,женьккк,user1313997817
кр практика насчет коллоквиум распределение поток идея первый половина алфавит фамилия сдавать вторник второй пятница когото получаться различный причина отписываться личка,Galina,user6222538500
добрый день появляться информация касаемо сдача коллоквиум татьяна владимировна,Fluf,user752804991
буква н включительно вторник пятница,Galina,user6222538500
вход коллоквиум случаться успевать конец пары посмотреть свободный аудитория продолжать,Galina,user6222538500
уточнять,Galina,user6222538500
здравствовать нужно рассказывать последний вопрос коллок,Егор Шарыпов,user1496699521
нужно это определять,Егор Шарыпов,user1496699521
лекция тема,Andrew Vabishchevich,user731843095
самостоятельный разбор давать,денис крандер,user702401646
говорить различный логика дело,женьккк,user1313997817
довольно поверхностно,женьккк,user1313997817
число последний лекция,женьккк,user1313997817
расписание появляться новый лекция след суббота комментарий тип коллоквиум это савченко тв группа это облачный дата который забывать,Fluf,user752804991
интересно,денис крандер,user702401646
легендарный кроссовер,Deraxus,user524234310
порядок,женьккк,user1313997817
тема самостоятельный изучение давать определение логика,Galina,user6222538500
октябрь,Fluf,user752804991
объявлять дата нормально стоять суббота удивлять разбираться,Galina,user6222538500
выбирать решать чей сторона,Fluf,user752804991
появляться пара,Олеся,user455726615
олеся,Сережа Хахххахаха,user691238404
обожать коллоквиум особенно,женьккк,user1313997817
суббота назначать уверенный это ошибка течение день разбираться,Galina,user6222538500
спасибо очень хотеться услышать дата сдавать колок савченко тв пожалуйста,Fluf,user752804991
полагать никто это понравиться готовый разбираться,женьккк,user1313997817
норма,Fluf,user752804991
треш,женьккк,user1313997817
вообще откуда история факультатив,женьккк,user1313997817
расписание,Fluf,user752804991
направление,Fluf,user752804991
вопрос исчерпывать,женьккк,user1313997817
разбираться,Fluf,user752804991
интернет находить поэтому писать простой составной формула булевский функция классификация проводить количество переменный количество внутренний функция,Артём,user1499212295
высоко отвечать простой операция,Yriy,user774744281
количество внутренний функция,женьккк,user1313997817
выше писать суперпозиция,женьккк,user1313997817
ока получаться кроме пример функция первый билет говорить нечего таблица истинность билет,Артём,user1499212295
определение простой составной формула стоить сказать,женьккк,user1313997817
определение класс монотонный функция класс пост набор переменный сравниваться лексикографически,Yriy,user774744281
побитовый,Егор Шарыпов,user1496699521
бит б считаться набор несравнимый,Егор Шарыпов,user1496699521
сложно мочь сказать определение мочь простой знать какуюто формулировка неплохо,Дмитрий Сомов,user5795254391
коллоквиум савченко тв проходить точно время дата аудитория поздно,Galina,user6222538500
нужно както сообщать хотеть сдавать коллоквиум татьяна владимировна,Дарья,user356492733
приходить сдача значит автомат хотеть сдавать татьяна владимировна,Galina,user6222538500
спасибо,Fluf,user752804991
википедия сказать примерный,женьккк,user1313997817
хотя целое сказать умный человек,женьккк,user1313997817
сегодня вечер проводить консультация ссылка присылать обсуждать вопрос коллоквиум ждать весь желающий,Galina,user6222538500
запись,Michael Rumyantsev,user304635489
день договариваться вроде,женьккк,user1313997817
давать сделать запись ока,Galina,user6222538500
куча консультация подготовка завтра получаться,Galina,user6222538500
теорм полнота думать это теорема пост отдельный пункт,Егор Шарыпов,user1496699521
отлично равный оба сходить полезно,женьккк,user1313997817
лекция доказательство,женьккк,user1313997817
любой функция представлять помощь конъюнкция дизъюнкция отрицание,Anna Panina,user911482284
окей спс,Егор Шарыпов,user1496699521
индукция доказываться,женьккк,user1313997817
база функция аргумент,женьккк,user1313997817
доказываться вывод сднф таблица,Егор Шарыпов,user1496699521
чело,женьккк,user1313997817
любой функция таблица,Егор Шарыпов,user1496699521
любой таблица сднф,Егор Шарыпов,user1496699521
доказывать,Егор Шарыпов,user1496699521
сднф содержать онль,Егор Шарыпов,user1496699521
прокатить,женьккк,user1313997817
своеобразный однако,женьккк,user1313997817
небольшой задержка решать смочь отключаться ростелеком минута,Galina,user6222538500
пускать пожалуйста,Николай Новиков,user381124323
перемена мина,Galina,user6222538500
пускать пожалуйста,Restarh,user583836924
перемена,Galina,user6222538500
ктонибудь записывать,Сережа Хахххахаха,user691238404
группа матанализ база написать запись завтра это актуально сегодняшний консультация всетака запись,Fluf,user752804991
это матанализ,Andrew Vabishchevich,user731843095
это дискретка,Andrew Vabishchevich,user731843095
шарить,Fluf,user752804991
добрый день ваш успех трудно даваться задача множество операция образ прообраз множество обратный функция верхний нижний грань множество специально запланировать,Fluf,user752804991
консультация,,
который смочь,,
задавать вопрос,,
порешать задача,,
консультация проходить,,
зум завтра,,
воскресение октябрь длиться час ссылка подключение,,
консультация проводить,,
галина станиславовна шиманская,,
преподаватель ноц математика продуктивный работа консультация рекомендовать познакомиться красочный конспект который отражать основной информация тема,,
подключаться успех,,
уважение команда ноц математика,,
запись консультация ждать,Fluf,user752804991
казаться ктото ответ положительно давать вопрос вопрос,Сережа Хахххахаха,user691238404
ктото умный,Сережа Хахххахаха,user691238404
продублировать ктонибудь записывать,Сережа Хахххахаха,user691238404
иметь вид данный вопрос,Сережа Хахххахаха,user691238404
человек делиться тип сидеть записывать тетрадь приходить,Дмитрий Сомов,user5795254391
нуууу конспектик ктото скидывать плохо,Сережа Хахххахаха,user691238404
жаль тип запись экран конф,Сережа Хахххахаха,user691238404
факт,Igor Yakovlev,user1048905292
скрин некоторый экран сделать,Николай Новиков,user381124323
нуя благополучно забывать запись ктото завтра напоминать отлично,Galina,user6222538500
ма запись,Galina,user6222538500
это похвально официально герой поделиться,Дмитрий Сомов,user5795254391
завтра самый сегодня,Fluf,user752804991
недопустимый идентификатор,Andrew Vabishchevich,user731843095
недопустимый идентификатор,Anton Dementev,user1124096872
зум спать хотеть,Andrew Vabishchevich,user731843095
дамочь завтра продолжать,Galina,user6222538500
класс останавливаться,Anton Dementev,user1124096872
проверка принадлежность класс пост,Andrew Vabishchevich,user731843095
нормальный зум распоряжение класс продолжать,Galina,user6222538500
восколько,Andrew Vabishchevich,user731843095
завтра сколько,Danil Rozhin,user1232626150
славный,kirill,user6393435800
сразу матан,kirill,user6393435800
ока спасибо,kirill,user6393435800
спасибо консультация,Danil Rozhin,user1232626150
остальной сохраняться нормально,Николай Новиков,user381124323
спасибо большой,милана🦦,user594659197
спасибо большой,kirill,user6393435800
спасибо,Николай Новиков,user381124323
go gensh,143,user1065558635
спасибо,Andrew Vabishchevich,user731843095
спасибо большой,Anton Dementev,user1124096872
спасибо приходить,Galina,user6222538500
вроде хотеть разный день консультация получаться сегодня завтра половина узнаютусваивать грустно видимо,Fluf,user752804991
no sorry,милана🦦,user594659197
почему,143,user1065558635
готовиться,милана🦦,user594659197
проводить остаток сегодня далеко приходить ноль поговорить проходить отключаться,Galina,user6222538500
спасибо,Fluf,user752804991
карно чтото,Сережа Хахххахаха,user691238404
сохраняться,Николай Новиков,user381124323
очень жаль,Сережа Хахххахаха,user691238404
спасибо,Сережа Хахххахаха,user691238404
скидывать заскринить минута,Maxim Bogdanov,user903755276
весь ждать спасибо,Сережа Хахххахаха,user691238404
вроде класс нету,Maxim Bogdanov,user903755276
доска,Galina,user6222538500
первый снег кстати,Сережа Хахххахаха,user691238404
ливень,Galina,user6222538500
отлично ждать,Сережа Хахххахаха,user691238404
приглядываться уверенный снег,Сережа Хахххахаха,user691238404
чих точно считать снег делать вид спать пойти гулять,Galina,user6222538500
начинать кп,Galina,user6222538500
скрин теория,Maxim Bogdanov,user903755276
просто пускать второй,Данил,user967376585
обязательно пускать,Костя,user1994288719
ребята цветок лектор линал никуда скидывать вопрос коллок обещать сб,Иван Селезнев,user1050601049
пока,Дмитрий Сомов,user5795254391
сказать вкратце демонстрационный вариант контрольный работа отличаться реальный,Артём,user1499212295
вариант задание,Galina,user6222538500
говорить некоторый задание убирать некоторые заменять,Артём,user1499212295
находить демонстрационный вариант,Николай Алексеев,user1300178263
вложение,Anna Panina,user911482284
задача класс пост полнота,Galina,user6222538500
скоро поздно добавлять,Николай Алексеев,user1300178263
ктонибудь скидывать пожалуйста,Николай Алексеев,user1300178263
спасибо,Николай Алексеев,user1300178263
мочь принимать конференция,Сережа Хахххахаха,user691238404
пожалуйста мочь впускать,Леша,user1043807980
ссылка конференция,Galina,user6222538500
пускать пожалуйста,Николай Новиков,user381124323
пускать конф,Igor Yakovlev,user1048905292
немного мочь разбираться конспект конкретно иметься ввиду вопрос,Иван Селезнев,user1050601049
это,Иван Селезнев,user1050601049
это,Иван Селезнев,user1050601049
это,Егор Шарыпов,user1496699521
ока второй название иметь,Иван Селезнев,user1050601049
спс,Иван Селезнев,user1050601049
ребята ответ тема коллок кинуть пж,Иван Селезнев,user1050601049
скринить разбор теорема пост скидывать пожалуйста,프랭키 루빈👍😳👍,user475755665
консультация ктото говорить часы ноль,Кирилл Кошкарёв,user565289812
второй консультация весь тема сначала разбирать,Егор Макаров,user406042993
запись весь консультация делать,Николай Новиков,user381124323
щас гугл диск закинуть скин,Николай Новиков,user381124323
герой,Fluf,user752804991
осторожно герой,Кирилл Кошкарёв,user565289812
подсказывать пожалуйста это знак,добряк,user1131995264
эквиваленция вроде,Егор Шарыпов,user1496699521
эквивалентность,женьккк,user1313997817
ока спасибо,добряк,user1131995264
народ мочь глаз проблема билет одинаковый слово слово,Артём,user1499212295
д,Артём,user1499212295
весь глаз нужно проверять,Артём,user1499212295
мочь глаз проверять пока обязательно,женьккк,user1313997817
последний билет вроде,Anna Panina,user911482284
билет пример подходить логический задача учебник игошин,Anna Panina,user911482284
ктонибудь сделать пробный кр,Сережа Хахххахаха,user691238404
консультация,Егор Макаров,user406042993
полностью,Николай Новиков,user381124323
николай проверять лс,Сережа Хахххахаха,user691238404
приводить пример тождественный закон преобразование,Andrew Vabishchevich,user731843095
самый банальный стрелка пирс раскрой доказывать ти эквивалент,Николай Новиков,user381124323
спс,Andrew Vabishchevich,user731843095
кр понедельник,Ivan Fedorov🧩,user1038863887
kryto,Ivan Fedorov🧩,user1038863887
net,Кирилл Кошкарёв,user565289812
контакт цветков написать пж забывать скидывать,Иван Селезнев,user1050601049
написать,Anatoliy Rodionov,user1572679158
забывать,Fluf,user752804991
коллоквиум билет тянуть,Danil Rozhin,user1232626150
мочь,Сережа Хахххахаха,user691238404
пасиба,Danil Rozhin,user1232626150
максимальный балл коллоквиум,Galina,user6222538500
удовлетворять балл билет мочь взять второй добирать балл,женьккк,user1313997817
каждый билет балл собирать получать,добряк,user1131995264
пока билет брать теория написать,женьккк,user1313997817
макимум билет б первый замена билет минус балл итоговый результат далее,Galina,user6222538500
вообще оцениваться коллоквиум теория задача,женьккк,user1313997817
теория задача теория важный,Galina,user6222538500
верный,женьккк,user1313997817
сказать пожалуйста консультация,Егор Макаров,user406042993
коллоквиум вторник,женьккк,user1313997817
мочь хороший балл максимум,Nikita Miliutin,user416281316
пятница,Егор Макаров,user406042993
суть вторник нечестно минимум сдавать делать консультация,женьккк,user1313997817
вообще,добряк,user1131995264
забывать итмо первый неклассический мочь,добряк,user1131995264
рамка неклассический равный ограничивать,женьккк,user1313997817
завтра лекция новый раздел будеттак,Иван Селезнев,user1050601049
именно,Galina,user6222538500
счет логика высказывание мальчик сделать высказывание оба соврать считать неверный б неверно неверно б,Michael Rumyantsev,user304635489
лекция вроде использоваться вариант неверно б,Michael Rumyantsev,user304635489
верхний вариант,Костя,user1994288719
нижний давать правда a b например,Костя,user1994288719
верхний верный,Galina,user6222538500
доказывать существование единственность сднфскнфполином жегалкина,Yriy,user774744281
это разбирать,Galina,user6222538500
интересный вопрос мочь будущее обсуждать консультация,Galina,user6222538500
консультация,Maxim Nikiforov🦋,user536036487
коллоквиум кр течение семестр,Galina,user6222538500
добрый утро,Иван Селезнев,user1050601049
это тушавин,Артём,user1499212295
цветков,Иван Селезнев,user1050601049
товарищ привет билет закон де морган рассказывать,sandrolek,user892025888
идея это булев алгебра теория множество впихивать рассказ получать скнф сднф эквивалентный преобразование,Костя,user1994288719
пойти операция переменный,sandrolek,user892025888
знать пусть ктонибудь умный отвечать,Костя,user1994288719
закон де морган суть просто показывать делать общий отрицание приписывать просто смысл просто приводить a b,Николай Новиков,user381124323
сдавать вроде,Костя,user1994288719
мочь преподаватель написать личка,Дмитрий Сомов,user5795254391
ждать,Дмитрий Сомов,user5795254391
коллоквиум суббота,Shafikov Maxim,user1016391777
завтра,Егор Шарыпов,user1496699521
шафиков,Shafikov Maxim,user1016391777
поток день любой приходить,Shafikov Maxim,user1016391777
закрепа весить расписание фамилия второй группа число друг,Fluf,user752804991
читать группа,Fluf,user752804991
спасибо,Shafikov Maxim,user1016391777
сдавать практика нужно отписываться просто приходить,Иван Селезнев,user1050601049
читать группа,Fluf,user752804991
приходить лектор сдача автоматически говорить сдавать практика,Fluf,user752804991
важный информация,Galina,user6222538500
коллоквиум пятница переноситься понедельник пятница свободный аудитория,,
коллоквиум день кайф,Даня,user941501054
это невозможный,bocharnikoff,user939466119
среда матанализ линал это невозможный,Fluf,user752804991
база икс,Anna Panina,user911482284
пока профильный матан линал выигрывать,женьккк,user1313997817
джекпот,Fluf,user752804991
профильный линал существовать,Fluf,user752804991
это суперкомбо когото профмат профлина день,Fluf,user752804991
профмат октябрь,женьккк,user1313997817
профлина пока знать,женьккк,user1313997817
рассказывать,Fluf,user752804991
мэйби самый счастливчик который казино должный идти,Fluf,user752804991
получаться проф счастливчик,женьккк,user1313997817
тип,Fluf,user752804991
матан билет,женьккк,user1313997817
линал билет просто ботать конспект препод,женьккк,user1313997817
гг,Fluf,user752804991
число время,Igor Yakovlev,user1048905292
прямой практика,Igor Yakovlev,user1048905292
понимать,Igor Yakovlev,user1048905292
